path no,link id,band,rcn,job number,site1,state1,county1,site2,state2,county2,status1,licensebasis1,status2,licensebasis2,call1,call2,owner1,owner2,company1,company2,radio service1,station class1,conditional authorization1,radio service2,station class2,conditional authorization2,13ghz_certified1,13ghz_certified2,Current PCN Date,PCN Responses Due,Comsearch FPS RCN Status,file no1,application date1,file no2,application date2,effective date1,expiration date1,effective date2,expiration date2,latitude1,longitude1,latitude2,longitude2,ground1(m),ground1(ft),ground2(m),ground2(ft),asr number1,asr number2,azimuth12(deg),azimuth21(deg),distance(km),distance(mi),radius_km1,radius_km2,area_of_operation1,area_of_operation2,mainant1,mainant2,mainman1,mainman2,mainmodel1,maindiameter1(ft),mainmodel2,maindiameter2(ft),mainant mode1,maingain1(dBi),mainbeamwidth1(3db),maintilt1(deg),mainant mode2,maingain2(dBi),mainbeamwidth2(3db),maintilt2(deg),maincenline1(m),maincenline1(ft),maincenline2(m),maincenline2(ft),1staddlant1,1staddlant2,1staddlman1,1staddlman2,1staddlmodel1,1staddldiameter1(ft),1staddlmodel2,1staddldiameter2(ft),1staddlant mode1,1staddlant diversity1,1staddlgain1(dBi),1staddlbeamwidth1(3db),1staddlant mode2,1staddlant diversity2,1staddlgain2(dBi),1staddlbeamwidth2(3db),1staddlcenline1(m),1staddlcenline1(ft),1staddlcenline2(m),1staddlcenline2(ft),2ndaddlant1,2ndaddlant2,2ndaddlman1,2ndaddlman2,2ndaddlmodel1,2ndaddldiameter1(ft),2ndaddlmodel2,2ndaddldiameter2(ft),2ndaddlant mode1,2ndaddlant diversity1,2ndaddlgain1(dBi),2ndaddlbeamwidth1(3db),2ndaddlant mode2,2ndaddlant diversity2,2ndaddlgain2(dBi),2ndaddlbeamwidth2(3db),2ndaddlcenline1(m),2ndaddlcenline1(ft),2ndaddlcenline2(m),2ndaddlcenline2(ft),radio1,radio2,radioman1,radioman2,radiomodel1,radiomodel2,radiomodeldesc1,radiomodeldesc2,emissiondesignator1,emissionDesignator2,maxmodulation1,minmodulation1,maxdatarate1(kbps),mindatarate1(kbps),maxmodulation2,minmodulation2,maxdatarate2(kbps),mindatarate2(kbps),stability1,stability2,atpc enabled,acm advantage,nomPower1(dBm),coordPower1(dBm),maxPower1(dBm),nomPower2(dBm),coordPower2(dBm),maxPower2(dBm),rxnomPower1(dBm),rxcoordPower1(dBm),rxmaxPower1(dBm),rxnomPower2(dBm),rxcoordPower2(dBm),rxmaxPower2(dBm),nomeirp1(dBm),coordeirp1(dBm),maxeirp1(dBm),nomeirp2(dBm),coordeirp2(dBm),maxeirp2(dBm),commonLoss1(dB),txLoss1(dB),rxLoss1(dB),commonLoss2(dB),txLoss2(dB),rxLoss2(dB),freeSpaceLoss(dB),atmosphericLoss(dB),planbandwidth1(MHz),freq1_1,pol1_1,desig1_1,freq1_2,pol1_2,desig1_2,freq1_3,pol1_3,desig1_3,freq1_4,pol1_4,desig1_4,freq1_5,pol1_5,desig1_5,freq1_6,pol1_6,desig1_6,freq1_7,pol1_7,desig1_7,freq1_8,pol1_8,desig1_8,freq1_9,pol1_9,desig1_9,freq1_10,pol1_10,desig1_10,freq1_11,pol1_11,desig1_11,freq1_12,pol1_12,desig1_12,freq1_13,pol1_13,desig1_13,planbandwidth2(MHz),freq2_1,pol2_1,desig2_1,freq2_2,pol2_2,desig2_2,freq2_3,pol2_3,desig2_3,freq2_4,pol2_4,desig2_4,freq2_5,pol2_5,desig2_5,freq2_6,pol2_6,desig2_6,freq2_7,pol2_7,desig2_7,freq2_8,pol2_8,desig2_8,freq2_9,pol2_9,desig2_9,freq2_10,pol2_10,desig2_10,freq2_11,pol2_11,desig2_11,freq2_12,pol2_12,desig2_12,freq2_13,pol2_13,desig2_13
1,,11 GHz (10700-11700 MHz) US,"=""260623C5""",260623COMSRP02,TX-THROCKMORTON-WE-2,TX,"Throckmorton County                               ",TX-THROCKMORTON-SW-2,TX,"Haskell County                                    ",Proposed,Primary,Proposed,Primary,,,AMGTEC,AMGTEC,AMG Technology Investment Group LLC,AMG Technology Investment Group LLC,CF-Common Carrier Fixed,FXO-Fixed,No,CF-Common Carrier Fixed,FXO-Fixed,No,false,false,06/23/2026,07/07/2026,Clear,,,,,,,,,33 10 52.86 N,99 22 55.02 W,33 01 56.86 N,99 28 51.74 W,509.02,1670.0,504.26,1654.4,,,209.28,29.23,18.927,11.760,,,,,77176A,16995A,ANDREW,ANDREW,VHLP3-11WA,2.99,VHLP4-11WA,4.00,Tx/Rx,38.50,2.00,-0.10,Tx/Rx,40.80,1.60,-0.03,33.53,110.00,25.91,85.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M11AB5-2,M11AB5-2,"Aviat Networks, Inc.","Aviat Networks, Inc.",WT42O-11-80M 4096Q 1462MB,WT42O-11-80M 4096Q 1462MB,"WTM 4200 ODU ","WTM 4200 ODU ",80M0D7W,80M0D7W,4096 QAM,QPSK,1462000.00,207000.00,4096 QAM,QPSK,1462000.00,207000.00,0.0005,0.0005,Yes,Yes,15.00,29.00,29.00,15.00,29.00,29.00,-44.99,-30.99,-30.99,-44.99,-30.99,-30.99,53.50,67.50,67.50,55.80,69.80,69.80,0.00,0.00,,0.00,0.00,,138.97,0.32,80.0,11325.0,Both V/H,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,10835.0,Both V/H,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,11 GHz (10700-11700 MHz) US,"=""260623C5""",260623COMSRP02,TX-THRCKMRTON-WE-1,TX,"Throckmorton County                               ",TX-THROCKMORTON-WE-2,TX,"Throckmorton County                               ",Proposed,Primary,Proposed,Primary,WRHV300,,AMGTEC,AMGTEC,AMG Technology Investment Group LLC,AMG Technology Investment Group LLC,CF-Common Carrier Fixed,FXO-Fixed,No,CF-Common Carrier Fixed,FXO-Fixed,No,false,false,06/23/2026,07/07/2026,Clear,,,,,,06/23/2030,,,33 10 54.9 N,99 16 50.8 W,33 10 52.86 N,99 22 55.02 W,483.00,1584.6,509.02,1670.0,,,269.65,89.59,9.436,5.863,,,,,09139A,77176A,ANDREW,ANDREW,VHLP2-11WB,2.00,VHLP3-11WA,2.99,Tx/Rx,34.70,3.30,0.07,Tx/Rx,38.50,2.00,-0.13,44.20,145.00,35.05,115.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M11AB5-2,M11AB5-2,"Aviat Networks, Inc.","Aviat Networks, Inc.",WT42O-11-80M 4096Q 1462MB,WT42O-11-80M 4096Q 1462MB,"WTM 4200 ODU ","WTM 4200 ODU ",80M0D7W,80M0D7W,4096 QAM,QPSK,1462000.00,207000.00,4096 QAM,QPSK,1462000.00,207000.00,0.0005,0.0005,Yes,Yes,19.00,25.00,29.00,19.00,25.00,29.00,-40.89,-34.89,-30.89,-40.89,-34.89,-30.89,53.70,59.70,63.70,57.50,63.50,67.50,0.00,0.00,,0.00,0.00,,132.93,0.16,80.0,10995.0,Both V/H,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,11485.0,Both V/H,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
